SYSTEM,STANDARD_IDENTIFIER,STANDARD_DISPLAY,RANK
LOINC,6463-4,Bacteria identified in Specimen by Culture,193
LOINC,600-7,Bacteria identified in Blood by Culture,102
LOINC,57132-3,CYP2C19 gene allele [Genotype] in Blood or Tissue by Molecular genetics method Nominal,7198
LOINC,40425-1,CYP2D6 gene allele [Genotype] in Blood or Tissue by Molecular genetics method Nominal,9273
LOINC,26607-2,Cystathionine [Moles/volume] in Serum or Plasma,2813
LOINC,25092-8,Cystathionine/Creatinine [Molar ratio] in Urine,12547
LOINC,33863-2,Cystatin C [Mass/volume] in Serum or Plasma,1239
LOINC,22672-0,Cystine [Moles/volume] in Serum or Plasma,2805
LOINC,22687-8,Cystine/Creatinine [Molar ratio] in Urine,11422
LOINC,17861-6,Calcium [Mass/volume] in Serum or Plasma,10
LOINC,46099-8,Calcium [Mass/volume] corrected for albumin in Serum or Plasma,1147
LOINC,5774-5,Calcium oxalate crystals [Presence] in Urine sediment by Light microscopy,681
LOINC,25149-6,Calcium phosphate crystals [#/area] in Urine sediment by Microscopy high power field,7006
LOINC,5775-2,Calcium phosphate crystals [Presence] in Urine sediment by Light microscopy,4500
LOINC,15155-5,Calcium [Mass/volume] in Body fluid,5383
LOINC,25147-0,Calcium carbonate crystals [#/area] in Urine sediment by Microscopy high power field,13508
LOINC,5773-7,Calcium carbonate crystals [Presence] in Urine sediment by Light microscopy,4277
LOINC,36335-8,CT Upper extremity - left WO and W contrast IV,-1
LOINC,36457-0,CT Upper extremity - left WO contrast,-1
LOINC,36170-9,CT Upper extremity - right W contrast IV,-1
LOINC,36336-6,CT Upper extremity - right WO and W contrast IV,-1
LOINC,36458-8,CT Upper extremity - right WO contrast,-1
LOINC,30626-6,CT Upper extremity W contrast IV,-1
LOINC,36334-1,CT Upper extremity WO and W contrast IV,3641
LOINC,30627-4,CT Upper extremity WO contrast,-1
LOINC,9757-6,Coxsackievirus A9 Ab [Titer] in Serum by Complement fixation,6835
LOINC,5104-5,Coxsackievirus B1 Ab [Titer] in Serum by Complement fixation,6365
LOINC,5106-0,Coxsackievirus B2 Ab [Titer] in Serum by Complement fixation,6364
LOINC,5108-6,Coxsackievirus B3 Ab [Titer] in Serum by Complement fixation,6363
LOINC,5110-2,Coxsackievirus B4 Ab [Titer] in Serum by Complement fixation,6383
LOINC,5112-8,Coxsackievirus B5 Ab [Titer] in Serum by Complement fixation,6385
LOINC,5114-4,Coxsackievirus B6 Ab [Titer] in Serum by Complement fixation,6386
LOINC,7265-2,Crawfish IgE Ab [Units/volume] in Serum,9777
LOINC,2148-5,Creatine [Mass/volume] in Serum or Plasma,3960
LOINC,2160-0,Creatinine [Mass/volume] in Serum or Plasma,4
LOINC,2161-8,Creatinine [Mass/volume] in Urine,154
LOINC,2164-2,Creatinine renal clearance in 24 hour Urine and Serum or Plasma,1659
LOINC,2162-6,Creatinine [Mass/time] in 24 hour Urine,824
LOINC,38483-4,Creatinine [Mass/volume] in Blood,252
LOINC,45066-8,"Creatinine and Glomerular filtration rate.predicted panel - Serum, Plasma or Blood",402
LOINC,12191-3,Creatinine [Mass/volume] in Peritoneal fluid,7005
LOINC,12190-5,Creatinine [Mass/volume] in Body fluid,527
LOINC,6092-1,Crab IgE Ab [Units/volume] in Serum,2146
LOINC,7262-9,Cranberry IgE Ab [Units/volume] in Serum,10054
LOINC,2143-6,Cortisol [Mass/volume] in Serum or Plasma,475
LOINC,12566-6,Cortisol [Mass/volume] in Serum or Plasma --30 minutes post XXX challenge,4948
LOINC,12567-4,Cortisol [Mass/volume] in Serum or Plasma --1 hour post XXX challenge,4802
LOINC,9813-7,Cortisol [Mass/volume] in Serum or Plasma --AM peak specimen,1111
LOINC,43215-3,Cortisol [Mass/volume] in Serum or Plasma --baseline,2452
LOINC,11040-3,Cortisol Free [Mass/volume] in Urine,4078
LOINC,9812-9,Cortisol [Mass/volume] in Serum or Plasma --PM trough specimen,2939
LOINC,2142-8,Cortisol [Mass/volume] in Saliva (oral fluid),2702
LOINC,2147-7,Cortisol Free [Mass/time] in 24 hour Urine,2605
LOINC,44309-3,Cortisol Free/Creatinine [Mass Ratio] in Urine,12186
LOINC,49029-2,Cortisol Free/Cortisone free [Mass Ratio] in Urine,14859
LOINC,14044-2,Cortisone [Mass/time] in 24 hour Urine,10147
LOINC,12293-7,Cotinine [Presence] in Urine,1462
LOINC,6090-5,Cottonwood IgE Ab [Units/volume] in Serum,1630
SNOMED CT,248592006,Character of cough (observable entity),-1
LOINC,6091-3,Cow dander IgE Ab [Units/volume] in Serum,5967
LOINC,6174-7,Milk IgE Ab [Units/volume] in Serum,2914
LOINC,34716-1,Coxiella burnetii phase 1 IgG Ab [Titer] in Serum by Immunofluorescence,5500
LOINC,47075-7,Coxiella burnetii phase 1 IgM Ab [Titer] in Serum by Immunofluorescence,8931
LOINC,34717-9,Coxiella burnetii phase 2 IgG Ab [Titer] in Serum by Immunofluorescence,5443
LOINC,44814-2,Coxiella burnetii phase 2 IgM Ab [Titer] in Serum by Immunofluorescence,9148
LOINC,9750-1,Coxsackievirus A10 Ab [Titer] in Serum by Complement fixation,6807
LOINC,6688-6,Coxsackievirus A16 Ab [Titer] in Serum by Complement fixation,6826
LOINC,9753-5,Coxsackievirus A2 Ab [Titer] in Serum by Complement fixation,6915
LOINC,9754-3,Coxsackievirus A4 Ab [Titer] in Serum by Complement fixation,6892
LOINC,9755-0,Coxsackievirus A7 Ab [Titer] in Serum by Complement fixation,6854
LOINC,3520-4,cycloSPORINE [Mass/volume] in Blood,1001
LOINC,26592-6,Cystathionine [Moles/volume] in Cerebral spinal fluid,8765
LOINC,5784-4,Cystine crystals [Presence] in Urine sediment by Light microscopy,4866
